their is nothing to say but the iphone 4 is the best phone in the world  .
it does take some getting used to but it is not hard to learn the commands since they are passing you by on the screen  .
the earphones control has been changed a bit as it adds a contour in the middle of up and down volume click so the user can click commands and activate voice control by holding down for several seconds  .
i have found the speed increase to be the best feature by far  .
having the ability to speed through opening and closing apps makes the phone a lot easier to take advantage of in moments where you need to get info as quick as possible  .
despite at ts lack of mms support upon launch i feel that new iphone adopters or those eligible for an upgrade will make the easy choice of choosing the 3gs .
worth every penny  .
go get it .
i'd buy another in a heartbeat  .
it is delivered at 10 am on day one and activated by 11 am  .
i've never seen so many whiners about the new 3gs  .
i wonder if they actually own and use one .
i have to say that regardless the lateness from at t to make available picture messaging , the iphone has been by far the best phone and many other things that i've had  .
i'ts been a week since i bought it and i love it  .
everything works smoothly and perfect  .
the best part is that if you need something else , you can get it from an application somewhere  .
this is the best piece of engineering i've had so far  .
great  .
amazing  .
nice toy  .
many years ago , bill gates talked about a wallet pc (http  //www  .
hpcfactor  .
com/reviews/editorial/walletpc/) and today much of his vision has been realized , ironically not by microsoft but by apple this phone does almost everything i need  .
i say almost because it cannot run apps in the background unless the user jailbreaks the phone , which i absolutely will not do  .
(apple needs to let the user decide which apps , if any , they want to allow to run in the background , by simply asking them the same way the android does) it's fast , the call quality is great , the apps are great , the games run much more smoothly on the 3gs than they did on the 3g (for example the sims 3 , hero of sparta and underworlds were almost unplayable on the 3g but run smoothly on the 3gs) , and the load times on everything , across the board are 2    3 times faster the video quality is much better than i expected , with a steady framerate and decent resolution  .
it would be nice if i could tap to focus during video recording instead of just before the recording , but it's amazing that i can tap to focus in the first place so i don't want to complain the bluetooth headphones work much better on the 3gs than they did on my 3g , which introduced too much of a buffer or something because the audio and video would be a little out of sync  .
no problems like that on the 3gs though in all , i'd say apple knocked it out of the park with this device  .
is it phenomenally better than the 3g  .
no , but considering how great the 3g already is i do not think that's a big deal  .
they addressed all the concerns i had with the 3g except the battery life , which is slightly better but not enough (here's hoping for some nanotech breakthrough in battery life in the next 12    24 months  .
the snappiness of this phone is tremendous , and the software enhancements for this phone are fabulous  .
my calls are very clear  .
this is my primary business phone , and every call i've been on in the last week i've asked , can you hear me ok , how do i sound  .
i chuckle and shake my head when i see people give this one or two stars do these people have a sense of their own past  .
like i said above , what would they think if this product is dropped in their lap 10 years ago  .
its simply unfathomably innovative and perfectly executed  .
i also laughed when i read the comment that said apple doesn't listen to their customers  .
i do not even know what that means , but i assure you , i'm glad creative right brained people are driving this boat at apple , and not opinionated lemmings    because customers on their own cannot possibly conceive and execute a product roadmap the way apple is doing    they are executing and making themselves a strong and healthy franchise in the process updated  .
on jun 28 , 2009  .
this is the jesus phone suped up on steroids i love this phone so much that i brought it all the way from the states to china cause this phone just makes everything soo much easier all those one stars reviews are just trolls  .
honestly i am a gadget geek and even tho i love apple products i is thinking about getting a pre until i actually borrowed my friends phone for the day and played with the new 3gs and realized the pre is the bastard child of the iphone .
user experience is unparalled  .
love the seamless integration of phone , ipod , handheld game console and the internet cannot wait to see what developers will concoct up with the new apis introduced such as the peer to peer function and the use of the dock connector for external goodies  .
if you don't know your phone the 3gs will be the same as the 3g it is not even close the processor and ram set it far apart  .
enough said pros  .
cut , copy and paste make internet , email and apps count  .
the search function allows me to find what i want without wasting time  .
needless to say that the faster processor and ram make the phone the best phone i have owned  .
speed is the word the compass helps function in the gps  .
finally landscape email and sms  .
voice memos are outstanding to have if you are trying to take notes on the fly the video with editing makes certain task the easiest that i have been able to accomplish and now i don't wish i had my camcorder  .
youtube is has much more to offer on the iphone and i can even sign into my account  .
i can better keep track of stocks and the landscape feature makes it much more tolerable to follow using the app  .
the phone features have changed a little  .
i do like how i can tell if my friends are calling me by mobile or home or where ever i have them listed  .
i also like how states from no caller id is displayed eleven pages to store apps is great and i like how if the eleven do not work you can find the app by going to the search page there is too much to list .
definite buy  .
do not buy the anti    hype  .
this is the hub of my virtual life  .
every major developer has concurred that as far as this platform is concerned , iphone is the start and finish of every conversation .
[url]http  //www  .
dkons  .
vn [/url]  .
[url]http  //www  .
dressup9x  .
com[/url]  .
[url]http  //www  .
dressup24h  .
com[/url]  .
[url]http  //www  .
protectyourhealth  .
biz[/url]  .
[url]http  //www  .
smiles24h  .
com[/url]  .
[url]http  //www  .
yasoftware  .
net[/url]  .
i play on a 56 inch 3d gaming tv , so i'm only predicting this for the young kids  .
not for 40 year old farts like myself  .
well maybe , new leader boards 2 own  .
this iphone is the best phone i have ever owned  .
the only thing is i feel mms should have been available on the very first phone and at t should have been ready for this powerful device when it first hit the market  .
i am a long time customer of at t and i have no other complaints about them except not being ready for the mms or tethering  .
i have never had any problems with calls droping or making phone calls  .
the only time i experience no coverage or some dead zones is in the country (southern states) and that is some years ago now since more towers have been put in place i have not experienced that problem updated  .
on jul 1 , 2009  .
i cannot believe how this phone could get low reviews  .
they seem unjustifiable and misinformed  .
yes , this phone integrates fine with ms outlook , yes you can easily use this device as a wireless drive with an app called (files or air sharing) the available 3rd party software (apps) and hardware (cases , speakers , headphones) make this device the most supported device by far  .
i've owned the ipod touch for 9 months and have been waiting for apple to release a 32gb iphone since initial launch  .
finally  .
it appears this iphone is considerably faster than before with twice as much ram , faster graphics processor , and a much faster processor the software works seamlessly and typing on the virtual screen is easier than any other device thanks to useful auto correction and feedback the new features work as advertised , this device is much faster than my touch  .
even moving apps around on the device is improved considerably  .
voice quality is great itunes is excellent at integration and the added security of mobile me (ability to find your phone if stolen and wipe your data from a laptop) make this device the only device i do not leave home without .
bottom line is that the new iphone 3g    s is the absolute best device in the mobile industry hands down both in software and in hardware  .
i have no problem with at t service as it is more than acceptable for me i think whoever gets this phone will be absolutely amazed also i opted for the mobileme this way i get instant email just like on my blackberry although the iphone shows html emails muuuuuuuch better than my storm ever could .
i am a verizon customer who jumped ship to at t  .
i had a terrible time with poor call quality and signal strength at home with verizon  .
the difference with the iphone and at t is truly astonishing  .
i cannot agree with the poor call quality assessmsent certainly not true in my case and my signal strength and speed have been consistently excellent  .
i have only had a positve experience with at t so far and would not give my iphone up for anything  .
color me a iphone/at t convert .
i got this phone on its release and is using it to its full potential in less than 3 hours  .
its fast and looks great  .
just sucks when i go thru the battery in one day  .
the best phone ever , and despite seemingly minor updates , the 3gs outperforms the 3g by leaps and bounds  .
everything is in the cnet review  .
watch out for all the apple    bashers putting up low ratings even before this phone came out .
i just love it  .
all these reviews and a lot of them do not even own the phone  .
out of all the phones i've had this has been the best  .
before this i had a blackberry pearl and i hated it , that had a bad interface that using that center scroll ball  .
this iphone just like the original i had is easy to learn and syncs with all my apps , calendar , notes , and mail (at not extra charge unlike my blackberry)  .
my only real complaint is that i've now upgraded from the original iphone plan of 20 per month to 30 per month and mms is not available right now and there is no 3g in this area of michigan (plans have been prepped to upgrade but not till the end of the year from what i have heard)  .
why should i pay extra for a more advanced phone that can only do what my original did  .
we should be compensated until all services are available  .
again bad at t for not being prepared  .
if your looking for a phone with awesome capabilities , tons of free apps , and a carrier with great costumer service this iphone is for you  .
i've had sprint and verizon they still cannot compare in service nor phones like at t .
this is my first iphone , however my friend has the 3g , and i have had both ipod touches  .
starts up way faster than both of them (10 seconds faster) , launches  .
topple 2 10 seconds faster , faster internet (even before at t upgrades their network  .
if you have the 3g and are eligible for the lower price that new at t customers get , go for it  .
if you are not eligible for an upgrade , skip it and wait for the next model , where there will be huge upgrades .
apple continues to be the best phone out there  .
i had the blackberry storm and i hated it with its click screen  .
there is no comparison and with over 30000 applications to download , you cant beat how this item performs  .
simply the best electronic item to come along in 10 years  .
1)flash player support  .
2)quick back option without going to home screen while switching between apps 3)file browsing and storing  .
4)option to attach images , file etc from email app itself 5)multiple signature options  .
6)manual rotate gesture option  .
7)notes app should be more powerful word process (fonts , text size etc)  .
8)all grouping of contacts for test message e  .
friend and family groups 9)app for grouping key social networking sites (for posting universal photos , text to all social networking sites together 10) auto spell check in safari browser (like mozilla) when adding text in twitter , facebook leaving comments at blog etc 11)build in flash in camera for night photo shot  .
12) front facing camera for video chat  .
13) use cover flow for using multitasking third party apps (limit to 5 apps , not to drain the battery life)  .
14)thin quick time player app to run video downloaded from web 15)group notification alert or not attended tasks (missed mms , sms , phone , chat message , meeting , event etc)on single screen roger kent  .
every one like this revolutionary device .
cannot go wrong with this version of the iphone  .
there really is no other phone as good .
let's be frank , iphone 1  .
0 is still the best smartphone (non    business user) on the market  .
3g s propels iphone so far above the competition , there is no good comparison  .
there may be phones that do more , but it's not what you do , but the way you do it .
my iphone is 2 years old , and works great , battery keeps holding plenty of hours of energy , att service so far so good  .
very happy with mine .
it is the best smartphone out there at the moment  .
blows me away  .
could not even imagine a cell phone product so advanced .
up until january of this year , i lived in north carolina and at t is my cell phone service provider  .
i always desired an iphone , but i never got one because the phone i had worked just fine  .
the call quality is decent , but i mostly used it for text messaging anyway  .
now i live in germany , and i have an iphone 3g with t    mobile  .
the customer service is great , along with the network and call quality  .
i recently shattered the top of my iphone screen , but i will definitely be upgrading to a 3g s soon  .
thanks for the in    depth look at another promising product (    .
the iphone 3g s is a great improvement to the iphone line by reducing the price on the 16gb models and introducing the 32gb version  .
apple has done a great job in listening to its customers and adding common smartphone features       regarding mms and internet tethering , do not blame apple or at t  .
the reason that it is not being offered at the moment is because the at t network is being updated to the 7  .
2 mbps speed .
it amazes me that this phone has hundreds of reviews before its actually released  .
do yourself a favor and make sure you listen to people that actually have the phone not iphone fanboys or haters  .
if you've got the money then buy it  .
i like it especially for the squirecon agility and the new broscono unit being built into the speaker  .
from what i under stand the speakers will be able to put out 1000 amps comparatively to a bose speaker system  .
i also like the new add on keyboard that will be shipping with it  .
fromt what i understand there is a slot to slide the iphone in , with the screen still visible  .
absolutely rocks  .
and the integration into windows 7 is far out of this world  .
i can barely wait  .
love the first generation , the one i've had since the beginning and cannot wait to indulge in the new one  .
it's such a great toy .
there may be lot's to write about when the phone is shipped , for now there is nothing to talk about  .
updated  .
on jun 13 , 2009  .
updated  .
on jun 20 , 2009  .
apple is a true patriot  .
it proves that us products are still the best  .
while other companies are lowering american standards  .
with cheap undone stuff updated  .
on jun 19 , 2009  .
you cannot review the phone for the lack of improvements first of all no one should be reviewing as no one actually has this phone , and secondly the phone itself is spectacular    better than any other .
none of you own this phone yet  .
stop leaving bad reviews when you have never even laid eyes on the 3g s  .
and the reviews are supposed to be about the product , not the service provider , so please quit with the 1/2 star ratings just because it is an at t phone  .
reviews should be about how functional the product is in a reasonable context .
how are there reviews before the product has been in the hands of the public  .
its kinda dumb that people are rating it based on their positive or negative bias towards the iphone .
the new iphone 3gs has incredible new features and speed , however , many of those new bells and whistles are held back by the poor network .
the bottom line is the iphone 3g s has features and user friendly environment that is un    matched by any other mobile device out there  .
i am a current iphone 3g owner i will defenately be getting the 3g s and selling my 3g mainly because im eligable for the upgrade so it wont brake the bank but even more so with the new features that are coming out which the current 3g is defenately lacking  .
all in all way to go apple on giving us some of what we want but yet leaving more room for growth (by growth i mean more profits for apple by realising yet another model in another year .
cannot wait to upgrade from my original iphone .
ALL THE APPS, SERIOUSLY, IPOD,QUICKTUNES. CUSTOMIZATION UNDER WINTER BOARD-VWALLPAPER,TLERT,APPULOUS. CYDIA, CNN, AIRMOUSE, TETHER FREE, GENIUS BAR, THE BEST,TV OUT; NO CAMERA FLASH. NO EXT BATT. ATT ATT ATT/(UNLESS YOU ROLL LIKE ME AND MANY OTHER HAPPY USERS AND LOVERS OF APPLE SERVICE) NEED A COMP
END OF THE ROAD DEVICE LIGHT YEARS AHEAD FRO GET THE NOW NETWORK THIS IS THE FUTURE I LIKE HOW APPLE KEEP THE AMERICAN BRAND LIGHT YEARS AHEAD OF THE WORLD. IT PROVES THAT AMERICA IS STILL USA. I WISH THEY COME UP WITH A REAL APPLE CAR.; 10 YEARS AHEAD OF NOW NETWORK.
Apps dont crash, native apps open quicker, voice controls, video funtionality; same cosmetic shape as last years 3G
how are there reviews before it has been released?; how are there reviews before it has been released?
Aplications, screen size, speed, operating system; No flash support for browser
Everything; AT&#38;T pricing is outrageous
Every thing is awesome; None .
App Store and Speed; Not much....
Video Recording,Fast Processing,Teflon Coated Screen or As I call it, Anti-Smudging.; None So Far.
EASE OF OPERATION, ABLE TO DO ALL MY BANKING AND BILL PAYING ON IT, DON'T OWN A LAP TOP ANYMORE. VEERY DEPENDABLE, LOTS OF GOOD APPLICATIONS FOR IT; BATTERY LIFE, BUT WITH THE ADDED BATTERY FROM AT&#38;T IT NOW LAST ALL DAY AND I USE IT A LOT
Too many to list.; The keyboard as usual.
i like it very much; very very good
i LOVE THIS PHONE AND EVERYTHING ABOUT. IT'S SO EASY TO USE. I OWN THE 1ST GENERATION AND HAVE NO COMPLAINTS IT JUST KEEPS GETTING BETTER AND BETTER. CALL QUALITY IS FINE, CAMERA, INTERNET, E-MAIL, IPOD, APPS, AND SO ON... ALL EXCELLENT.; NO MMS AVAILABLE YET
Great Display. Build Quality. Solid Interface. Tons od Apps; Multitasking would be a plus
An Excellent device with awesome features.; Cost is More.
None, the phone isn't even out yet.; None, the phone isn't even out yet.
feel, look, capabilities, battery; mms, (getting on the 25th!)
Fast, More responsive, 32GB, Deeper "blacks", Whiter "whites", More vibrant colors, Fingerprints wipe off no problem, Amazing video!; Pictures are ok, Phone isn't on par with other phones
Speed, smoothness, camera, capabilities, multimedia; Battery can drain in a day sometimes.
Everything.. Apps, speed, wifi, etc..; None that I can think of.
Ease of use, applications, internet; Having to pay to make ring tones.
Display, Interface, App Store; Office and Exchange Support. Not good for business
Great Camera. Video recording finally. Voice control is useful. Better battery. Running OS 3.0. Faster processor; No LED flash. Same Voice quality. No flash support
so far so good; still lot to improve, see the bottom line
i luv everything about the iphone; idk what i dont like about the iphone
GREAT phone, great quality, ample hard drive space, fast as all get out. Great step forward by Apple.; Lack of camera flash...thats it.
Innovative. Ease of Use. Features. Great Touch Screen. Intuitive UI. New Features. Improved Camera. Video Camera + Editing. Voice Control. Improved Hardware + Speed. Eventual MMS + Tethering. Compass. Improved Features + Options Through 3.0 Software Update; AT&#38;T as service provider
Delves into almost every aspect of the new iPhone; very insightful; ----------
Features. Screen. Ease of use. Fast; Battery Life. Plan cost(but really on par with other smart phones
Not enough room. Put Pros in bottom-line summary.; I wish that there was tethering and MMS.
MUCH faster, more features, same great design.; Rogers isn't a great provider, though the only nationwide one in Canada.
Fast response. Exceptional call quality with strong even signal. Long battery life. Amazing variety of applications. Fun product to use.; Can't think of any.
Much faster, new apps and features; Problems dealing with AT &#38; T and Apple as a commercial user
its a great very well rounded product.; nothing i can think of
Great features and functionality. It has great apps and nice screen resolution; uses too much data when I travel overseas
Tons of nice features... Very fast!; None that I can think of at this time.
love the camera; i dont' use the phone much but i suppose it would be reception.
Apple software and speed.. GSM network; At&#38;t house of idiots still think they can make money on long distance calling. ???
None of you own this phone yet! Stop with the bad reviews!; None of you own this phone yet! Stop with the bad reviews!
It is simple to use. Many apps available. It is really a computer, not a phone.; Only AT&#38;T is supported ...
Great apps. Stylish. Fun. Intuitive; Stuck with AT&#38;T for now.. Would like faster web browsing and Video. Flip out keyboard would be nice
1. Lots of useful free applications. 2. Superb Web browsing. 3. Excellent music experience. 4. Ridiculously intuitive and easy to use user-interface; 1. No Flash support. 2. No missed call notification. 3. Iphones are finger prints magnet
Style, function, Superb OS; It's time for Apple to branch outside of AT&#38;T. I would like to have access to VoIP apps.
- Speed. - Voice Dialing. - Video recording. - Improved Google Maps. - Space. - Phone pricing ($200 for 16GB; $300 for 32GB). - All other key aspects of an iPhone (e.g. app store, ipod, itunes, etc); - DATA PLAN!!. The iPhone data plan is grossly expensive.
Mac software. PC like ability. Ipod, remote, interface.; ATT service needs to step it up. Learn from GM and many others. You must compete or you will be gone, iPhone or not.
It's the next-gen iPhone - which will exceed everyone's expectations when it arrives; It's still better than anything else on the market - by a long shot.
the perfect cell phone; lol if I right a con i would feel fooloish for something this amazing
1. Gloriously fast! No signs of twiddling fingers.. 2. Games are almost console-quality.. 3. App Store - 50 000 + (Could only get better with new APIs introduced). 4. Spotlight Search. 5. Exchange integration.; 1. Lack of bluetooth support for sending/receiving files etc.
They fixed all the issues I care about: battery life, video recording, and better camera.; No real negatives. Even copy and paste works good now.
i like it with the Voice Control, i think it is Powerful.; i think the price is expensive.
Wanna get a free Iphone 3GS? It's really simple,. go to xpango . com register there and type the referral ID : 91935437 . C'mon just try it..; Wanna get a free Iphone 3GS? It's really simple,. go to xpango . com register there and type the referral ID : 91935437 . C'mon just try it..
-Everything about it makes the smartphone experience better than the Blackberry - and it's not close; -No zoom on the camera
speed, design, apps, internet integration, texting, keyboard; gets kinda warm, and battery life, but im constantly on it, so i guess its my fault the battery keeps dying! :)
The phone, the iPod, and all of the apps are amazing.; 3 Letters AT&#38;T
Ease of use, web browsing, e-mail, i-pod, camera, phone navigation, great design, endless apps, having the coolest phone in the universe; UPS charging cord to short
Multi-Touch, Capacitive Display, Design, Ease of Use, Web Browser, App Store, iTunes Store, Battery Life, Music Player, Youtube App, Smooth Scrolling, GPS support, Oleophobic coating, Voice Over, Nike Integration with iPod.; No support for flash, Tied to one carrier, Odd placement of water sensors, No Camera flash, Camera.
Multi-Touch, Capacitive Display, Design, Ease of Use, Web Browser, App Store, iTunes Store, Battery Life, Music Player, Youtube App, Smooth Scrolling, GPS support, Oleophobic coating, Voice Over, Nike Integration with iPod.; No support for flash, Tied to one carrier, Odd placement of water sensors, No Camera flash, Camera.
Style and design, Speed, Responsive, Voice Control, GPS, App Store, IPOD, Video editing, Blue Tooth. Web Browsing, much improved performance, and battery life. TEXT READER (more about that in the review); No Flash that's it!
Pretty much everything not listed below in the "cons" section; - The apple connector (charging/sync) port.. - Lack of external memory expansion. - Very fragile screen without a case, cracks easily
Fast processor, fast 3g speed, loud speaker, good battery life, and the usual iPhone stuff (awesome OS, great built-in apps, media abilities, games, AppStore, etc.); Voice control doesn't work well for me, only one carrier (AT&#38;T) choice
Lightening quick, new faster tighter gaming rig, sweet mutil-dimensional video with editing. Beyond intuitive. Seamless syncing through itunes for Windows and Mac. Whatever you need to/want to do, there really is an app for that.; Jealousy inducing.
the apps are great. the touch screen. the app store. the camera is good. 32 gb; there is just one thing no flash but it takes good pics
video recording. high quality screen. large storage. upload to youtube. edit video. thousands of applications all very useful!. hours of fun. multi touch is nice; AT&#38;T. some people can't access 3g in some places like any 3g phone
Tons of applications available, many of them free. Very fast. Intuitive and very easy to use. Amazing sound quality!!.; In regards of the equipment itself: NONE!!. Lack of picture messaging from AT&#38;T... yet.
The touch screen is the best I've used. Android and Blackberry don't even come close.; The back is pretty easy to get scratch.
this is the best phone ever!!!!!!. it is like a mini laptop!!!!!!!!!!!; I wish there was flash
I could really understad it event without the phone in my hand.; You sperqated things like it said bad things about the phone then it said more bad things about the phone when i squled down but it was not titled bad things about the phone.
Battery life, ease of use, great look/feel, cut/paste feature a bonus. Excellent warranty customer service through Apple Care, or via the local Genuis Bar.; No multitasking, no pre-installed voice turn-by-turn directions (available with app). Lack of tech support via AT&#38;T Stores.
It is unique, with the app store it rules! You get all features in it. Good touch Keyboard which is important in a touch screen.; Could have had a better camera.
20 seconds from off to the home screen, apps run more smoothly, downloading and sending sms is quicker. Video camera with editing and direct uploading to youtube.; MMS wont be available till late summer 09 (Bad AT&#38;T)
User Interface is tops. And there's an app for everything!; Cons? ....I've thought about it for a few minutes and can think of none.
The best electronics device ever. It is the ultimate example of form and function.; Does not have teleportation....yet.. And too, the speaker phone could be louder.
As the #1 player on XBOXLIVE , i'm here 2 predict once they get a Super Network ( not just AT&#38;T ) ! Say with in 5years , the I~PHONE will be the #1 gaming platform in the World ! Rivaling XBOX , Wii , PS3 combined !!!; Admins at your local Hospital will rise , when people Drive , Walk , and SMASH INTO EACH OTHER !! Look out Gamer coming threw !!!
It is unriveled in it's touch interaction and it's music playing capabilities. The meer feel of the iPhone oozes quality.; Very few characteristics of the iPhone inspire a negative response.
Wi-Fi virtually anywhere allows me to keep connected to email, IM and texts with limited drain on battery life.; Not much but the keyboard can be a pain.
Great screen, versatile, many apps, and good reception for where I live and use my phone. WiFi is great.; does not multitask without having to restart a program, sometimes.
Soooooo simple to use. Apps open &#38; close with no problems, amazing screen clarity, love the virtual keyboard. Web browser is gr8. Apple really hit a home run (as is evident by the sales) with this phone.; Needs better integration with different calendars (Gmail for example)
Fast. Massive Memory. jinternet is great. small tweaks make a user experience even better; only bad thing I can really think of is no flash but most of my shows are also on youtube so its a semi con
ease of use is king. apple has the most responsive screen, best navigation, best apps, best access to your media, give it up haters, only apple is worth your time, period, exclamation point, everyone else is a hater; battery life. so so camera
I like the phone, the apps, and the speed and also the new broscono unit being built into the speaker. Excellent moves; None , this is a great phone
iPhone provides the best interface, coolest design, best features, etc. of any smartphone/PDA. It is unrivaled in all categories, if not by it's featureset alone, then also by it's pleasant ease of use.; AT&#38;T is the worth cell provide in the market. Don't get the iPhone unless you plan on using it unlocked on T-Mobile or elsewhere.
Fast speeds compared to regular 3G, video enhancement is nice and camera is improved. 32GB is nice to have so I can transfer all songs from Ipod touch! Compass and cut and paste features are nice as well!; Voice recognition component needs work. Compass is a waste, not a real necessity.
What's with all the hate? I was looking at the LG EnV Touch, the Palm Pre, HTC Hero, I even looked at the Garmin Nuvi G60. This is the very best cell phone yet. I brought the 32G 3GS. I love everything about it. Great phone!; There is no con other than ATT! But that is not an iPhone problem! I
Everything...what is not to like?; I keep hearing that sound quality is bad, but either i have really good ears or the majority of people out there have really bad hearing.
This is a nice phone, and much better than it's older versions; The price doesn't seem to want to go down any regardless of the age of the phone.
Voice search with google, gps, speed of processor in general, I live near Philadelphia PA and get great reception, and good battery life, I use mine all day long.; Warms up after using it for a long time.
Seamless Microsoft / Mac integration. Super Fast. Unlimited Apps. GPS. Picture and Video Quality. Shake to undo. Voice Command (better than any used previous products); AT&#38;T - Leaving Verizon for AT&#38;T, I have my reserves...and considering their lack of readiness for MMS, it may be a frustrating 2 years
Screen, call quality, applications, very intuitive, fun to use and it just works the way should. Like carrying around a mini computer - even better!; A little pricey but not really for what you are getting.
VERY Fast. Everything about the iPhone and its 3.0 software. Ease of Use; AT&#38;T - other than that the iPhone is superior to other phones in almost every aspect
I've been waiting to upgrade my Treo 650 for an iphone with &gt;16mb of memory space. I mainly use mac native apps, so I appreciate the seamless integration.; Addictive-- to the point that I forget to check my calendar for meetings and appointments.. Battery life--could be better. ATT-- pricing
Much faster than previous models. I don't understand the constant complaining about AT&#38;T. The network is great here in FL beats most of the others in our area. Apple products have been great and service has been great.; The lack of running multiple apps simultaneously is the only con.
Speed. Multi Tasking. Customized MMS and SMS. Tons of amazing apps. Very responsive touch screen and accelerometers. Deactivate-able Rotation. SBprefs is the best thing ever. great GPS,. VNC connection is perfect. Myspace and Facebook integration is great!; Compass is strange and off a bit. Not all apps are free but are hackable
Waaay too many to list. I just love how easy it is to sync with my MacBook. All of my contacts, calendars, notes, email, etc. are always with me. Visual voicemail is the best! FAST and 32 GB of storage.; On AT&#38;T, and not Verizon
I live in Australia and the telstra network is perfect for the iphone with their next g network. Plus the huge range of apps means im not restricted with comparability issues as with other phones; battery life, thats it
Voice commands are excellent- accepts my commands almost flawlessly.. Speed and responsiveness. GPS and compass enhancement simply amazing. Enhanced search in email and left of the home screen. Voice record super clear and fun; I can't think of one single problem or con, except the battery life. I like to put myself back 10 years and imagine what I would think if this phone dropped into my lap... its truly remarkable.
32 Gigs = 2000 songs with 20 Gigs to spare. Fast turn on, Fast email, Fast Internet,. Good Battery - Gets me through the day with constant use. Great video - when your stuck (airports, Dr. Offices, DMV, visiting your inlaws...); The phone is just okay. The keyboard is sometimes difficult but gets better with use - however - the crackberry keyboards are just as bad. I miss graffiti.... Itunes - once in you're in for life (but oh how I love genius!)
Everything, this phone is amazing! It does more than you could ever want it to do...it will never get boring. Sometimes I forget it's even a phone!; Battery life could be a better, I wish the back was a matte finish, a retro Apple logo on the back would be really cool. I really wish google maps included turn by turn voice activated directions.
This is an amazing phone that is light years ahead of my tmobile 8900. Faster, more multimedia, bigger and better screen. It can do everything a blackberry can do but with a lot more STYLE!; No mass media storage. Having to go through iTunes for EVERYTHING. Lack of user interphase customizability. That's it though.
Comparing this against some sci-fi fantasy device, the iPhone 3GS is not perfect. Comparing it against all competition, it is at the very top.; I don't like so many sub menus to get to my email 'dashboard' where I can access my different accounts. It basically takes 4 clicks to get from a message on one email account to a message in another.
Easy to use. 100K+ Apps. Variety of accessories to choose from. Fully integrated with iTune. New futures and updates from Apple every year or so. Very smooth operating software.; I dislike the plastic backing, but I always use a case so it doesn't really matter. Speaker not as loud. I don't like At&#38;t.
it does everything, and if you think is doesnt do everything just check the app store, cause you will find a program that will do it! lolol; have to agree a little bit about the reception on this....and its transition in and out of the 3G and Edge mode
Works the way we think (or at least I think). Call forwarding is very easy, adding incoming new numbers to your directory, etc. Great for watching video podcasts and there's no end to the apps that you can install on this phone.; Only problem: it's a bit addictive.
Its quick, easy, stylish, what more can you ask for? nothing, but it keeps giving with the great applications you can get on it, and have hours of fun on top of everything else!; As far as i can see, the only con is that you cant multitask, but thats going to change with the 4G next month!
The added speed is wonderful. The phone finally functions the way it should be. The bigger camera and video capture is a nice touch.; I would have to say that the 3.0 update has made my wi-fi horrible. Also the phone does get a little warm but nothing to worry about. Battery life could be better and there still isn't multitasking.
Incredible array of features, fast, slick, incredibly easy to use, new features are great. I'll leave the itemized list to the many media reviews.; AT&#38;T, but what can you do - they have a huge job and seem to be working on it. There are features to add, like multi tasking, flash, etc., but my impression is apple doesn't add features unless they work really well and fit the price point.
Everything the iPhone does it does flawlessly...Came from a Blackberry storm on Verizon which was absolutely horrible!!! Now that the iPhone has video recording and a auto focus camera as well as MMS coming soon, i switched and will not look back...; I cannot think of any cons with this phone at all, remember that I came from a blackberry storm which was a complete joke both in software and in hardware...
Great internet browsing, good applications, text messaging built right and a big hard drive for storage what more can you ask for.; I like everything about the Apple iPhone 3Gs, the only thing it doesn't have Java support and MMS but AT&#38;T is working on it.
Ease of use, large screen, syncs with Outlook Contacts and calender; Wish I could change a battery. I do not like the bulky add on battery that plugs in the bottom. The fuel charger is nice but tobig to go in a leather case on your belt.
+ Video camera is better than any phone I've used and 32GB memory is enough to actually hold a lot of video, which my other phones have NOT been able to do.. + Very responsive performance. + Great phone reception (at least in DFW); - Can't run apps in the background. - Battery still not what I'd like. Lasts about a day. - Gets a little hot, not too bad
FAST! No more lag!. Compass, Voice control, Better Graphics, Redesigned earphone controller. Video Camera is very handy and the touch to focus feature makes you wish all cameras had the ability. The oleophobic coating is a very welcome feature.; ATT is still the bane of every US iPhone owner. They want to do the provisioning in one single update in order to not create a customer service nightmare for them since the older phones are not pre provisioned for MMS. Thats what they told me anyway.
I really like the upgrades in speeds in pretty much every category. All process are faster plus they have a lot of helpful new features like the compass. As a hiker, I really loved the compass and the new camera (w/ the pre-existing geo-tag feature).; AT&#38;T. I think AT&#38;T is overpriced and crappy. I like the roll over minutes, but their 3G network is pathetic and the fact that they don't support MMS messages is sad. My middle school students wonder why I stick with them.
Speed, Fast 3g, great call quality and great 3g reception, dont know where you get that it does not have great call quality and reception.; The only thing I can think of is ATT is not supporting MMS and Tethering yet but other than that the phone is awesome and my ATT service is the best, it was worse when I was with Sprint and Verizon.
Speed! I have the 16GB 3GS in white and I love how fast the phone can access the iPhone apps as well as the internet. I love how it feels in my hands (you can feel the quality of the phone). Great phone!; Battery power runs out fairly quickly if you are using the apps a lot (and you will!). However, listening to music on a 2 1/2 hour train ride from San Diego to Los Angeles only consumed approx 5% of the power. No Adobe Flash player capability.
